"Country","Happiness.Rank","Happiness.Score","Economy","Health.Life.Expectancy","Freedom","Trust.Government.Corruption","Generosity"
"Finland",1,7.769,1.34,0.986,0.596,0.393,0.153
"Denmark",2,7.6,1.383,0.996,0.592,0.41,0.252
"Norway",3,7.554,1.488,1.028,0.603,0.341,0.271
"Iceland",4,7.494,1.38,1.026,0.591,0.118,0.354
"Netherlands",5,7.488,1.396,0.999,0.557,0.298,0.322
"Switzerland",6,7.48,1.452,1.052,0.572,0.343,0.263
"Sweden",7,7.343,1.387,1.009,0.574,0.373,0.267
"New Zealand",8,7.307,1.303,1.026,0.585,0.38,0.33
"Canada",9,7.278,1.365,1.039,0.584,0.308,0.285
"Austria",10,7.246,1.376,1.016,0.532,0.226,0.244
"Australia",11,7.228,1.372,1.036,0.557,0.29,0.332
"Costa Rica",12,7.167,1.034,0.963,0.558,0.093,0.144
"Israel",13,7.139,1.276,1.029,0.371,0.082,0.261
"Luxembourg",14,7.09,1.609,1.012,0.526,0.316,0.194
"United Kingdom",15,7.054,1.333,0.996,0.45,0.278,0.348
"Ireland",16,7.021,1.499,0.999,0.516,0.31,0.298
"Germany",17,6.985,1.373,0.987,0.495,0.265,0.261
"Belgium",18,6.923,1.356,0.986,0.473,0.21,0.16
"United States",19,6.892,1.433,0.874,0.454,0.128,0.28
"Czech Republic",20,6.852,1.269,0.92,0.457,0.036,0.046
"United Arab Emirates",21,6.825,1.503,0.825,0.598,0.182,0.262
"Malta",22,6.726,1.3,0.999,0.564,0.151,0.375
"Mexico",23,6.595,1.07,0.861,0.433,0.073,0.074
"France",24,6.592,1.324,1.045,0.436,0.183,0.111
"Taiwan",25,6.446,1.368,0.914,0.351,0.097,0.242
"Chile",26,6.444,1.159,0.92,0.357,0.056,0.187
"Guatemala",27,6.436,0.8,0.746,0.535,0.078,0.175
"Saudi Arabia",28,6.375,1.403,0.795,0.439,0.132,0.08
"Qatar",29,6.374,1.684,0.871,0.555,0.167,0.22
"Spain",30,6.354,1.286,1.062,0.362,0.079,0.153
"Panama",31,6.321,1.149,0.91,0.516,0.054,0.109
"Brazil",32,6.3,1.004,0.802,0.39,0.086,0.099
"Uruguay",33,6.293,1.124,0.891,0.523,0.15,0.127
"Singapore",34,6.262,1.572,1.141,0.556,0.453,0.271
"El Salvador",35,6.253,0.794,0.789,0.43,0.074,0.093
"Italy",36,6.223,1.294,1.039,0.231,0.03,0.158
"Bahrain",37,6.199,1.362,0.871,0.536,0.11,0.255
"Slovakia",38,6.198,1.246,0.881,0.334,0.014,0.121
"Trinidad & Tobago",39,6.192,1.231,0.713,0.489,0.016,0.185
"Poland",40,6.182,1.206,0.884,0.483,0.05,0.117
"Uzbekistan",41,6.174,0.745,0.756,0.631,0.24,0.322
"Lithuania",42,6.149,1.238,0.818,0.291,0.042,0.043
"Colombia",43,6.125,0.985,0.841,0.47,0.034,0.099
"Slovenia",44,6.118,1.258,0.953,0.564,0.057,0.144
"Nicaragua",45,6.105,0.694,0.835,0.435,0.127,0.2
"Kosovo",46,6.1,0.882,0.758,0.489,0.006,0.262
"Argentina",47,6.086,1.092,0.881,0.471,0.05,0.066
"Romania",48,6.07,1.162,0.825,0.462,0.005,0.083
"Cyprus",49,6.046,1.263,1.042,0.406,0.041,0.19
"Ecuador",50,6.028,0.912,0.868,0.498,0.087,0.126
"Kuwait",51,6.021,1.5,0.808,0.493,0.097,0.142
"Thailand",52,6.008,1.05,0.828,0.557,0.028,0.359
"Latvia",53,5.94,1.187,0.812,0.264,0.064,0.075
"South Korea",54,5.895,1.301,1.036,0.159,0.056,0.175
"Estonia",55,5.893,1.237,0.874,0.495,0.161,0.103
"Jamaica",56,5.89,0.831,0.831,0.49,0.028,0.107
"Mauritius",57,5.888,1.12,0.798,0.498,0.06,0.215
"Japan",58,5.886,1.327,1.088,0.445,0.14,0.069
"Honduras",59,5.86,0.642,0.828,0.507,0.078,0.246
"Kazakhstan",60,5.809,1.173,0.729,0.41,0.096,0.146
"Bolivia",61,5.779,0.776,0.706,0.511,0.064,0.137
"Hungary",62,5.758,1.201,0.828,0.199,0.02,0.081
"Paraguay",63,5.743,0.855,0.777,0.514,0.08,0.184
"Northern Cyprus",64,5.718,1.263,1.042,0.417,0.162,0.191
"Peru",65,5.697,0.96,0.854,0.455,0.027,0.083
"Portugal",66,5.693,1.221,0.999,0.508,0.025,0.047
"Pakistan",67,5.653,0.677,0.535,0.313,0.098,0.22
"Russia",68,5.648,1.183,0.726,0.334,0.031,0.082
"Philippines",69,5.631,0.807,0.657,0.558,0.107,0.117
"Serbia",70,5.603,1.004,0.854,0.282,0.039,0.137
"Moldova",71,5.529,0.685,0.739,0.245,0,0.181
"Libya",72,5.525,1.044,0.673,0.416,0.152,0.133
"Montenegro",73,5.523,1.051,0.871,0.197,0.08,0.142
"Tajikistan",74,5.467,0.493,0.718,0.389,0.144,0.23
"Croatia",75,5.432,1.155,0.914,0.296,0.022,0.119
"Hong Kong",76,5.43,1.438,1.122,0.44,0.287,0.258
"Dominican Republic",77,5.425,1.015,0.779,0.497,0.101,0.113
"Bosnia and Herzegovina",78,5.386,0.945,0.845,0.212,0.006,0.263
"Turkey",79,5.373,1.183,0.808,0.195,0.106,0.083
"Malaysia",80,5.339,1.221,0.828,0.508,0.024,0.26
"Belarus",81,5.323,1.067,0.789,0.235,0.142,0.094
"Greece",82,5.287,1.181,0.999,0.067,0.034,0
"Mongolia",83,5.285,0.948,0.667,0.317,0.038,0.235
"North Macedonia",84,5.274,0.983,0.838,0.345,0.034,0.185
"Nigeria",85,5.265,0.696,0.245,0.426,0.041,0.215
"Kyrgyzstan",86,5.261,0.551,0.723,0.508,0.023,0.3
"Turkmenistan",87,5.247,1.052,0.657,0.394,0.028,0.244
"Algeria",88,5.211,1.002,0.785,0.086,0.114,0.073
"Morocco",89,5.208,0.801,0.782,0.418,0.076,0.036
"Azerbaijan",90,5.208,1.043,0.769,0.351,0.182,0.035
"Lebanon",91,5.197,0.987,0.815,0.216,0.027,0.166
"Indonesia",92,5.192,0.931,0.66,0.491,0.028,0.498
"China",93,5.191,1.029,0.893,0.521,0.1,0.058
"Vietnam",94,5.175,0.741,0.851,0.543,0.073,0.147
"Bhutan",95,5.082,0.813,0.604,0.457,0.167,0.37
"Cameroon",96,5.044,0.549,0.331,0.381,0.037,0.187
"Bulgaria",97,5.011,1.092,0.815,0.311,0.004,0.081
"Ghana",98,4.996,0.611,0.486,0.381,0.04,0.245
"Ivory Coast",99,4.944,0.569,0.232,0.352,0.09,0.154
"Nepal",100,4.913,0.446,0.677,0.439,0.089,0.285
"Jordan",101,4.906,0.837,0.815,0.383,0.13,0.11
"Benin",102,4.883,0.393,0.397,0.349,0.082,0.175
"Congo (Brazzaville)",103,4.812,0.673,0.508,0.372,0.093,0.105
"Gabon",104,4.799,1.057,0.571,0.295,0.055,0.043
"Laos",105,4.796,0.764,0.551,0.547,0.164,0.266
"South Africa",106,4.722,0.96,0.469,0.389,0.055,0.13
"Albania",107,4.719,0.947,0.874,0.383,0.027,0.178
"Venezuela",108,4.707,0.96,0.805,0.154,0.047,0.064
"Cambodia",109,4.7,0.574,0.637,0.609,0.062,0.232
"Palestinian Territories",110,4.696,0.657,0.672,0.225,0.066,0.103
"Senegal",111,4.681,0.45,0.571,0.292,0.072,0.153
"Somalia",112,4.668,0,0.268,0.559,0.27,0.243
"Namibia",113,4.639,0.879,0.477,0.401,0.056,0.07
"Niger",114,4.628,0.138,0.366,0.318,0.102,0.188
"Burkina Faso",115,4.587,0.331,0.38,0.255,0.113,0.177
"Armenia",116,4.559,0.85,0.815,0.283,0.064,0.095
"Iran",117,4.548,1.1,0.785,0.305,0.125,0.27
"Guinea",118,4.534,0.38,0.375,0.332,0.086,0.207
"Georgia",119,4.519,0.886,0.752,0.346,0.164,0.043
"Gambia",120,4.516,0.308,0.428,0.382,0.167,0.269
"Kenya",121,4.509,0.512,0.581,0.431,0.053,0.372
"Mauritania",122,4.49,0.57,0.489,0.066,0.088,0.106
"Mozambique",123,4.466,0.204,0.39,0.494,0.138,0.197
"Tunisia",124,4.461,0.921,0.815,0.167,0.055,0.059
"Bangladesh",125,4.456,0.562,0.723,0.527,0.143,0.166
"Iraq",126,4.437,1.043,0.574,0.241,0.089,0.148
"Congo (Kinshasa)",127,4.418,0.094,0.357,0.269,0.053,0.212
"Mali",128,4.39,0.385,0.308,0.327,0.052,0.153
"Sierra Leone",129,4.374,0.268,0.242,0.309,0.045,0.252
"Sri Lanka",130,4.366,0.949,0.831,0.47,0.047,0.244
"Myanmar",131,4.36,0.71,0.555,0.525,0.172,0.566
"Chad",132,4.35,0.35,0.192,0.174,0.078,0.198
"Ukraine",133,4.332,0.82,0.739,0.178,0.01,0.187
"Ethiopia",134,4.286,0.336,0.532,0.344,0.1,0.209
"Swaziland",135,4.212,0.811,0,0.313,0.135,0.074
"Uganda",136,4.189,0.332,0.443,0.356,0.06,0.252
"Egypt",137,4.166,0.913,0.644,0.241,0.067,0.076
"Zambia",138,4.107,0.578,0.426,0.431,0.087,0.247
"Togo",139,4.085,0.275,0.41,0.293,0.085,0.177
"India",140,4.015,0.755,0.588,0.498,0.085,0.2
"Liberia",141,3.975,0.073,0.443,0.37,0.033,0.233
"Comoros",142,3.973,0.274,0.505,0.142,0.078,0.275
"Madagascar",143,3.933,0.274,0.555,0.148,0.041,0.169
"Lesotho",144,3.802,0.489,0.168,0.359,0.093,0.107
"Burundi",145,3.775,0.046,0.38,0.22,0.18,0.176
"Zimbabwe",146,3.663,0.366,0.433,0.361,0.089,0.151
"Haiti",147,3.597,0.323,0.449,0.026,0.11,0.419
"Botswana",148,3.488,1.041,0.538,0.455,0.1,0.025
"Syria",149,3.462,0.619,0.44,0.013,0.141,0.331
"Malawi",150,3.41,0.191,0.495,0.443,0.089,0.218
"Yemen",151,3.38,0.287,0.463,0.143,0.077,0.108
"Rwanda",152,3.334,0.359,0.614,0.555,0.411,0.217
"Tanzania",153,3.231,0.476,0.499,0.417,0.147,0.276
"Afghanistan",154,3.203,0.35,0.361,0,0.025,0.158
"Central African Republic",155,3.083,0.026,0.105,0.225,0.035,0.235
"South Sudan",156,2.853,0.306,0.295,0.01,0.091,0.202
